date,gdp,real_interest_rate,unemployment_rate,inflation_rate,gdp_growth,unemployment_ma,inflation_ma
1960-01-01,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-02,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-03,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-04,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-05,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-06,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-07,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-08,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-09,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-10,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-11,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-12,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-13,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-14,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-15,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-16,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-17,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-18,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-19,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-20,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-21,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-22,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-23,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-24,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-25,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-26,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-27,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-28,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-29,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-30,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-01-31,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-01,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-02,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-03,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-04,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-05,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-06,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-07,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-08,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-09,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-10,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-11,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-12,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-13,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-14,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-15,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-16,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-17,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-18,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-19,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-20,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-21,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-22,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
1960-02-23,541988586206.897,3.10788487484417,5.5,1.45797598627791,0.0,5.5,1.45797598627791
